path timestamp dataset modality split delta patience epoch train_prec val_prec
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.10 3 8 87.546 92.817
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.10 4 12 96.014 96.25
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.10 5 12 96.014 96.25
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.10 6 12 96.014 96.25
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.10 7 12 96.014 96.25
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.15 1 3 37.992 66.262
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.15 2 6 76.77 88.899
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.15 3 6 76.77 88.899
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.15 4 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.15 5 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.15 6 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.15 7 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.20 1 3 37.992 66.262
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.20 2 6 76.77 88.899
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.20 3 6 76.77 88.899
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.20 4 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.20 5 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.20 6 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597658833.2102637 ucf101 LVR1 2 0.20 7 10 93.311 95.28
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.00 1 9 63.714 61.887
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.00 2 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.00 3 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.00 4 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.00 5 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.00 6 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.00 7 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.05 1 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.05 2 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.05 3 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.05 4 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.05 5 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.05 6 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.05 7 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.10 1 6 46.186 51.471
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.10 2 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.10 3 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.10 4 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.10 5 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.10 6 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.10 7 12 75.136 68.015
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.15 1 5 37.982 52.377
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.15 2 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.15 3 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.15 4 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.15 5 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.15 6 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.15 7 8 59.457 61.642
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.20 1 5 37.982 52.377
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.20 2 9 63.714 61.887
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.20 3 9 63.714 61.887
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.20 4 9 63.714 61.887
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.20 5 9 63.714 61.887
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.20 6 9 63.714 61.887
LVR/3.vr_stream/log_es2_lvr 1597655857.6927097 hmdb51 LVR1 3 0.20 7 9 63.714 61.887
